subjectIx,model,B,logB,label,mean_beta0,mean_beta
0,B01,1.903836185969888e-18,-40.802660778005546,extreme evidence for H1,-0.9021255329249535,3.1242585732566632
1,B01,1.2638839042375884e-20,-45.817512416287826,extreme evidence for H1,-1.0969967841327262,3.48953629018602
2,B01,3.7252013001675755e-33,-74.67018717811867,extreme evidence for H1,-1.597127005637621,5.612992996873039
3,B01,2.2729878153541476e-29,-65.95387251257219,extreme evidence for H1,-0.9526998396815837,4.539800230208491
5,B01,1.7112541496470918e-34,-77.75066663925837,extreme evidence for H1,-1.6052225940859222,5.826249684217763
6,B01,1.0723965552793539e-39,-89.73092271155352,extreme evidence for H1,-0.3369975652242135,6.10565656905487
8,B01,5.968731743899112e-28,-62.685848137204815,extreme evidence for H1,-0.7676885852135228,4.25471094970154
10,B01,1.5199721236329163e-27,-61.75110551586441,extreme evidence for H1,-0.9343042035576093,4.271657887724088
11,B01,9.114241634808227e-40,-89.8935655147844,extreme evidence for H1,-0.9079723715859043,6.329978653611808
12,B01,8.271181467498386e-29,-64.66219033614564,extreme evidence for H1,-0.674403760071451,4.309953274762978
13,B01,1.1454442025036148e-26,-59.73141990628723,extreme evidence for H1,-1.1110262429600628,4.2556009816130675
14,B01,5.992816480317698e-41,-92.61542731408848,extreme evidence for H1,-1.1785751798133632,6.77204418754419
15,B01,2.2507138411700843e-40,-91.29215629112042,extreme evidence for H1,-0.1822295855153332,6.2308487910280155
16,B01,4.752560002488199e-23,-51.4007737181045,extreme evidence for H1,-0.21245299903292664,3.438818469382358
17,B01,8.4937427545545e-33,-73.84597832291914,extreme evidence for H1,-0.030575484712634438,4.774215885189986
18,B01,5.1205821582708374e-40,-90.47013558438681,extreme evidence for H1,-0.46138044712112386,6.158777524991701
19,B01,1.0596948693270714e-33,-75.92732706124433,extreme evidence for H1,0.21555752731381556,4.920105372900179
20,B01,1.0780137637499777e-31,-71.305017642553,extreme evidence for H1,-1.3029647379706402,5.139265574234166
21,B01,8.040347120768389e-37,-83.11117618429587,extreme evidence for H1,1.282544556063019,5.993547127979018
22,B01,1.1369641802337395e-31,-71.25177617229548,extreme evidence for H1,0.3051817607268494,4.634181306598245
23,B01,1.4491859823671883e-22,-50.28587003854662,extreme evidence for H1,0.48130792528090083,3.4480532759759264
24,B01,1.6132318131161893e-16,-36.36312198357864,extreme evidence for H1,-1.0470289105900246,2.9519934543240995
26,B01,4.383201252708745e-25,-56.08684798781135,extreme evidence for H1,0.053391795523449255,3.6837196389255507
27,B01,1.7660273127081955e-28,-63.903650035911426,extreme evidence for H1,-0.8806333043953019,4.367901277699391
28,B01,2.303393448256265e-31,-70.54575443494629,extreme evidence for H1,0.003948262277188496,4.552821675217565
29,B01,5.3657860335432905e-24,-53.58199935512812,extreme evidence for H1,0.09448843548289143,3.5565557643147767
30,B01,1.0550390074398317e-36,-82.83948560766451,extreme evidence for H1,0.001306301986537384,5.449021906968275
31,B01,3.6284199688842785e-32,-72.39392569257012,extreme evidence for H1,-1.2827678667559117,5.19409819000413
32,B01,5.8548815679374995e-37,-83.42837267144313,extreme evidence for H1,0.2783581416808672,5.527842113692173
33,B01,4.494508963650632e-30,-67.57469636843213,extreme evidence for H1,-1.0988587054963441,4.734465641968463
34,B01,8.596783703222846e-29,-64.62357955151616,extreme evidence for H1,-1.8517595295457159,5.169776835795829
35,B01,2.24156590094717e-32,-72.87554829125034,extreme evidence for H1,-1.4413148435636358,5.350139803680632
