subjectIx,model,B,logB,error,label
0,B01,0.1769642234105941,-1.7318076944626113,2.0116860479546494e-6,moderate evidence for H1
1,B01,1.5392258921846962,0.431279622633386,6.437258913547231e-7,anecdotal evidence for H0
2,B01,1.0161896590216457,0.016060004000590124,1.7151823771600753e-6,anecdotal evidence for H0
3,B01,0.5421438121856826,-0.6122239766019519,2.7209469663573035e-6,anecdotal evidence for H1
5,B01,3.493112500973493e-5,-10.262132292113801,1.396950909086679e-9,extreme evidence for H1
6,B01,0.7092852323495918,-0.34349753102524755,2.4490938097792237e-7,anecdotal evidence for H1
8,B01,0.005183524920019975,-5.262269967646352,2.4064819920907175e-10,extreme evidence for H1
10,B01,1.450743104663306,0.3720759111310892,5.4419646996968506e-8,anecdotal evidence for H0
11,B01,0.030197269597038254,-3.5000037693827037,2.7814343430145985e-6,very strong evidence for H1
12,B01,2.3319138813871754,0.8466893387270948,1.5669563092204702e-6,anecdotal evidence for H0
13,B01,0.600283423130121,-0.5103533634149321,1.3174866263195939e-6,anecdotal evidence for H1
14,B01,0.19973360052111921,-1.6107707977255723,2.0640470892985207e-7,moderate evidence for H1
15,B01,0.011593954415821749,-4.457271487776504,2.2707105032354165e-9,very strong evidence for H1
16,B01,0.8115018464567011,-0.20886861666753992,1.24711809925729e-7,anecdotal evidence for H1
17,B01,5.735559573870566e-4,-7.463655054424832,1.7834400996926469e-10,extreme evidence for H1
18,B01,0.01173273518569918,-4.44537246483719,9.626560667799494e-10,very strong evidence for H1
19,B01,0.10061058622996458,-2.2964977959387216,5.417158178609256e-6,moderate evidence for H1
20,B01,0.8344900099825955,-0.18093450721302326,2.1483205158769423e-6,anecdotal evidence for H1
21,B01,1.2705772962621078,0.23947136117350085,2.3235775919727515e-6,anecdotal evidence for H0
22,B01,10.074257407646323,2.309983398679204,3.1763438722043286e-7,strong evidence for H0
23,B01,5.5200904894706,1.708394253174676,5.682925553526801e-7,moderate evidence for H0
24,B01,0.7903226015713555,-0.23531406045642367,1.2050217264182443e-6,anecdotal evidence for H1
26,B01,1.198451660555771,0.1810304407920937,4.002210632826278e-6,anecdotal evidence for H0
27,B01,3.0982382283250893,1.1308336364962852,8.179701578596197e-7,moderate evidence for H0
28,B01,0.11439716166002413,-2.168079011008354,4.163208383788912e-6,moderate evidence for H1
29,B01,0.003580444445709884,-5.632268339428774,1.338148816142974e-10,extreme evidence for H1
30,B01,3.3108335242336544,1.1971999776978022,6.842777353611921e-7,moderate evidence for H0
31,B01,0.007143708855799383,-4.941523189905892,3.2029254978305547e-10,extreme evidence for H1
32,B01,6.917851141807102,1.9341051927649842,7.576683168496286e-8,moderate evidence for H0
33,B01,0.21449309974888572,-1.5394777101343626,8.401333724458758e-7,moderate evidence for H1
34,B01,0.008017081476369311,-4.82618082902307,2.110897231109904e-7,extreme evidence for H1
35,B01,10.672560944830256,2.367676050088607,1.4388343633400723e-8,strong evidence for H0
