subjectIx,B_null_vs_full,B_null_vs_order_restricted,B_rank_null_vs_full,B_rank_null_vs_order_restricted
0,0.08412285211276986,21.569962080197403,3,32
1,0.8701070673998704,1.1926790407652361,10,11
2,0.057232905317011695,0.010321496643296452,2,1
3,2.279337007000028,12.525206105066642,15,31
5,2.9879172335756343,5.303367471735239,17,25
6,1.8776356383612065,0.5652804787937158,14,9
8,5.174121816994793,7.907148690315413,26,27
10,5.535793586493375,5.101643707025503,27,24
11,4.977617833274367,3.0231141032446414,25,17
12,3.295670799699637,1.3862266974979967,19,12
13,1.6909942197937526,0.5381972462392114,12,8
14,6.737427043031992,9.098237782952507,31,28
15,5.61949511642577,4.681976201781119,28,22
16,6.204392024739145,5.0756655252369525,29,23
17,0.6473231240635556,0.14400318652419372,8,5
18,1.6770651175145013,7.1853689696422505,11,26
19,0.2690030172356706,0.05644375143954515,5,3
20,2.38659267230326,4.507257171488688,16,21
21,6.665522513604917,3.534811056809701,30,19
22,4.484681019017244,2.0886571187136695,23,16
23,0.42881467579586474,0.10029485767782893,6,4
24,0.5486942550144195,0.4070734142105641,7,7
26,2.0669622392074759e-4,3.4449370653457922,1,18
27,3.231933572176163,1.3954808170017972,18,13
28,4.123734362602544,1.6541651073040442,21,14
29,4.417765557752101,1.8711892541750743,22,15
30,6.915056298130149,11.360368487153194,32,29
31,0.0906796568328646,0.019799397551237705,4,2
32,0.6739137334075256,0.2919119358783713,9,6
33,4.531045133260206,12.269280079231537,24,30
34,1.7097659550431024,0.7815715647481726,13,10
35,3.748922782717501,4.3865519782803295,20,20
