subjectIx,NS,SSS
0,0.6083817481032874,0.596892574323283
1,0.6172879302641279,0.5905739598392756
2,0.5959039125199939,0.5570127881613319
3,0.5826570970822689,0.5836255164377538
5,0.5833403130679014,0.5656162902443446
6,0.5578008652220408,0.5341995519804495
8,0.6078752976329598,0.555019955048273
10,0.6097838465159876,0.5868363471366969
11,0.595697081000212,0.5816797932999785
12,0.6122192172528215,0.5952224642914232
13,0.6358492709277376,0.5987327567492886
14,0.590797669416108,0.5873737397977445
15,0.569442981794716,0.5405722618916696
16,0.591825064397805,0.578439066170956
17,0.5238874457121557,0.48878320715539303
18,0.5504499025249807,0.5529962916125957
19,0.5391223809536252,0.5030890781761088
20,0.6125399720596343,0.59702227824509
21,0.5586889417405876,0.5526115613771738
22,0.5178072740154445,0.4845928322779244
23,0.6093884855744873,0.5715700875146561
24,0.6129657023795683,0.5768706099107102
26,0.6220541366583457,0.6565439795979372
27,0.6429301919793463,0.5857628614515865
28,0.5642604150988734,0.5426815035691287
29,0.6107918873187272,0.5775186399926825
30,0.6111943172132258,0.5953445049244404
31,0.6162243968815299,0.5843301304371856
32,0.516260023087045,0.5063384867217035
33,0.6077756890337285,0.5886080923922318
34,0.5893631573616523,0.5610681838443919
35,0.611593086884023,0.5888501098078694
