subjectIx,t_d_alt,mean_RT
0,short,0.6763379780337951
0,intermediate,0.5684243894414976
0,long,0.5677807069710171
1,short,0.793348116918943
1,intermediate,0.5624659873269411
1,long,0.5973097267106358
2,short,0.7222271784527644
2,intermediate,0.5539320440752378
2,long,0.5827913695163922
3,short,0.6278753789756593
3,intermediate,0.5363976046460266
3,long,0.570310203188042
5,short,0.534839347798374
5,intermediate,0.5217948436816018
5,long,0.5504866070562101
6,short,0.5384797457187563
6,intermediate,0.5477273221056349
6,long,0.5396628784992572
8,short,0.5660013022631909
8,intermediate,0.5568534428419769
8,long,0.5811573839594569
10,short,0.6186197903966483
10,intermediate,0.5636793012532918
10,long,0.6112033917656018
11,short,0.6245286357453941
11,intermediate,0.5753014013367843
11,long,0.566500877111442
12,short,0.6705903884585974
12,intermediate,0.5881846196297214
12,long,0.5983629326878549
13,short,0.7260464469381986
13,intermediate,0.6014971137914911
13,long,0.6145323321536934
14,short,0.5440706317313015
14,intermediate,0.5675228461332154
14,long,0.5765782594032013
16,short,0.6020202184590744
16,intermediate,0.5538478123780806
16,long,0.5538600093690506
17,short,0.4736259472172865
17,intermediate,0.47829696059311944
17,long,0.483522196916733
18,short,0.5064833284929839
18,intermediate,0.5321202432663622
18,long,0.5146605276379926
19,short,0.5083341049988891
19,intermediate,0.5297791310018156
19,long,0.5171609182684249
20,short,0.6866291089507286
20,intermediate,0.5759388780306836
20,long,0.5897120978229698
21,short,0.5484608607887892
21,intermediate,0.5519802012612947
21,long,0.5463604262572416
22,short,0.5698807654219146
22,intermediate,0.5029670134349862
22,long,0.513035347146023
23,short,0.646603121746828
23,intermediate,0.5807232632669184
23,long,0.6058686746551261
26,short,0.6523704126778174
26,intermediate,0.5787557931263905
26,long,0.6006458177224441
27,short,0.8418734434661417
27,intermediate,0.5990432621841929
27,long,0.6082410648868507
28,short,0.5382211626688851
28,intermediate,0.5374418249034009
28,long,0.5317916025392707
29,short,0.58587180527403
29,intermediate,0.5760072235143525
29,long,0.5656162966789163
30,short,0.6049688293013181
30,intermediate,0.5999480490017634
30,long,0.6102513425394878
31,short,0.5466564384517483
31,intermediate,0.5815021670463428
31,long,0.5999946218436285
32,short,0.5334635108223154
32,intermediate,0.5206246853090616
32,long,0.5056327867092184
33,short,0.6239069504379293
33,intermediate,0.5535859445521923
33,long,0.5943219994897504
34,short,0.5688965997860578
34,intermediate,0.5336021883025114
34,long,0.5713449071526234
35,short,0.744481817658905
35,intermediate,0.6067488546595121
35,long,0.607388089586498
