subjectIx,t_d_alt,mean_RT,is_outlier
0,short,0.825633315487981,TRUE
0,intermediate,0.5244516940826239,FALSE
0,long,0.5620404493106651,FALSE
1,short,0.7710077160390938,FALSE
1,intermediate,0.5374516850196497,FALSE
1,long,0.6023359340822361,FALSE
2,short,0.44318571057738154,FALSE
2,intermediate,0.534075904623443,FALSE
2,long,0.5906791417794586,FALSE
3,short,0.689488964955152,FALSE
3,intermediate,0.561355931061706,FALSE
3,long,0.5691745156433502,FALSE
5,short,0.6463257721034097,FALSE
5,intermediate,0.5339909198125952,FALSE
5,long,0.5666048827785992,FALSE
6,short,0.512695795295258,FALSE
6,intermediate,0.5223660070259939,FALSE
6,long,0.5499111507957898,FALSE
8,short,0.5724064135138178,FALSE
8,intermediate,0.5421682142354817,FALSE
8,long,0.5538686020694773,FALSE
10,short,0.6167107392507855,FALSE
10,intermediate,0.573464660652462,FALSE
10,long,0.5870461836127462,FALSE
11,short,0.5798065210838104,FALSE
11,intermediate,0.5808944804917296,FALSE
11,long,0.5827370959602073,FALSE
12,short,0.5394917095060615,FALSE
12,intermediate,0.6002179679902232,FALSE
12,long,0.5990666188278434,FALSE
13,short,0.5511390944811865,FALSE
13,intermediate,0.583171374323077,FALSE
13,long,0.6115474800970498,FALSE
14,short,0.6056202912669895,FALSE
14,intermediate,0.5884749303161363,FALSE
14,long,0.5758581422802914,FALSE
15,short,0.5415965736743105,FALSE
15,intermediate,0.5413121173914988,FALSE
15,long,0.5395892888640943,FALSE
16,short,0.5832328570968992,FALSE
16,intermediate,0.588611794660162,FALSE
16,long,0.5647002518191584,FALSE
17,short,0.44833176126030594,FALSE
17,intermediate,0.474783433761427,FALSE
17,long,0.5179358225221854,FALSE
18,short,0.6163809290039353,FALSE
18,intermediate,0.5159501003845913,FALSE
18,long,0.5559142607550408,FALSE
19,short,0.46128515540790843,FALSE
19,intermediate,0.503719135218872,FALSE
19,long,0.5217504142860131,FALSE
20,short,0.6813340534396654,FALSE
20,intermediate,0.556672792619338,FALSE
20,long,0.5959900485470696,FALSE
21,short,0.5481389302588087,FALSE
21,intermediate,0.5524313117256541,FALSE
21,long,0.5588044660446189,FALSE
22,short,0.4733633705570052,FALSE
22,intermediate,0.4904457235622287,FALSE
22,long,0.4869777069200912,TRUE
23,short,0.5213615484124816,FALSE
23,intermediate,0.5844599222564284,FALSE
23,long,0.5999390622718714,FALSE
24,short,0.5852213626421872,FALSE
24,intermediate,0.5322113456888473,FALSE
24,long,0.59694396153091,FALSE
26,short,0.8191739229073391,FALSE
26,intermediate,0.599445005198921,FALSE
26,long,0.6085552107451013,FALSE
27,short,0.5774968074246942,FALSE
27,intermediate,0.574734650221638,FALSE
27,long,0.5995468493901299,FALSE
28,short,0.5448136318144521,FALSE
28,intermediate,0.5275629682007069,FALSE
28,long,0.5555556934161574,FALSE
29,short,0.5575122114457935,FALSE
29,intermediate,0.5785159162218557,FALSE
29,long,0.5957997321453893,FALSE
30,short,0.6145628928789416,FALSE
30,intermediate,0.5888247871041694,FALSE
30,long,0.585421231145752,FALSE
31,short,0.47940109696833133,FALSE
31,intermediate,0.5831193314134064,FALSE
31,long,0.5989114645159164,FALSE
32,short,0.48006667053276336,FALSE
32,intermediate,0.5186341738808344,FALSE
32,long,0.5117111878231476,FALSE
33,short,0.6136513989734322,FALSE
33,intermediate,0.5724854596692871,FALSE
33,long,0.5870010198221135,FALSE
34,short,0.5800879233769743,FALSE
34,intermediate,0.5363396398408327,FALSE
34,long,0.5730523493166402,FALSE
35,short,0.6263272468136165,FALSE
35,intermediate,0.5713603889876746,FALSE
35,long,0.5939608945478664,FALSE
